,word,muslim,christian,jewish,hindu,buddhist,atheist,muslim+,christian+,jewish+,hindu+,buddhist+,atheist+,variance,total
12,islam,0.0573182323409774,0.007688320097110002,0.010472060373481739,0.010104922381048107,0.004703948212164752,0.008935471745831213,0.040781073149208535,-0.008848839094658868,-0.006065098818287132,-0.006432236810720764,-0.011833210979604119,-0.007601687445937658,0.20745846000775298,0.09922295515061323
13,history,0.01608619683524845,0.01776903499538515,0.02461888209018543,0.012420762372146892,0.013119139136852203,0.012755932835641772,-4.212787566153231e-05,0.0016407102844751657,0.008490557379275447,-0.0037075623387630915,-0.0030091855740577798,-0.003372391875268211,0.1978064362197651,0.0967699482654599
14,christian,0.009382076691510236,0.043598410893504386,0.009618369025328356,0.0035875811109024715,0.004833266515537538,0.024221466625293054,-0.006491451785502438,0.027724882416491712,-0.006255159451684318,-0.012285947366110203,-0.011040261961475135,0.00834793814828038,0.19745326276318143,0.09524117086207604
15,life,0.009789622689722652,0.013875046980036441,0.011241813304048734,0.01125751453789766,0.013841176623962129,0.024060510156113636,-0.00422132469224089,-0.00013590040192710054,-0.0027691340779148078,-0.0027534328440658815,-0.00016977075800141302,0.010049562774150094,0.1719886829478304,0.08406568429178125
16,women,0.024514708314628014,0.01114188731821056,0.012390625142783976,0.01558011081611648,0.009225038386699361,0.0067683688307248035,0.011244585179767482,-0.0021282358166499725,-0.0008794979920765562,0.002309987681255947,-0.004045084748161171,-0.006501754304135729,0.16312614862482103,0.07962073880916319
17,jews,0.0071839250835482385,0.005593613133922889,0.05218262531306346,0.000728926367014927,0.0010092296738749525,0.009772557333806135,-0.005561221067323529,-0.007151533016948878,0.039437479162191695,-0.01201621978385684,-0.011735916476996814,-0.002972588817065632,0.16215473007503362,0.0764708769052306
18,hinduism,0.004022318228413471,0.003168530401846106,0.0015415222151491772,0.04522879401738519,0.019482016657964615,0.0030825661188638945,-0.008731973044856938,-0.009585760871424303,-0.011212769058121231,0.032474502744114786,0.006727725384694206,-0.009671725154406514,0.16089763864642642,0.07652574763962246
19,essays,0.011702772266418504,0.018188080918218757,0.020975481022410664,0.01229067802796364,0.008935914736195151,0.0017369755136858196,-0.0006022114810635849,0.005883097170736668,0.008670497274928576,-1.4305719518449209e-05,-0.0033690690112869372,-0.010568008233796269,0.15147632949255987,0.07382990248489253
20,temple,0.006431999011595618,0.003711269955234865,0.004960764758691657,0.02859334064445325,0.025849269741049397,0.0028380001251342977,-0.0056321083610975636,-0.008352837417458316,-0.0071033426140015244,0.01652923327176007,0.013785162368356215,-0.009226107247558884,0.15010569052438913,0.07238464423615909
21,church,0.0062821477347961225,0.02861359841884262,0.006676962977068245,0.0020389658026546396,0.002672499509137777,0.02602396204415761,-0.0057692083463133795,0.016562242337733117,-0.005374393104041257,-0.010012390278454863,-0.009378856571971725,0.013972605963048107,0.150017325244694,0.07230813648665702
22,buddha,0.0013242612790932448,0.0008270667446758518,0.00029003731969941726,0.004373837692027474,0.05823356134101652,0.00279859288358679,-0.009983631597589972,-0.010480826132007365,-0.0110178555569838,-0.0069340551846557436,0.0469256684643333,-0.008509299993096428,0.1477622672485864,0.0678473572600993
23,war,0.01325176142738283,0.010045110312650785,0.025316942507963472,0.004560910984701515,0.004656423751032254,0.010463722761438216,0.0018692828031879848,-0.0013373683115440599,0.013934463883768627,-0.0068215676394933296,-0.00672605487316259,-0.0009187558627566286,0.1404499651549166,0.06829487174516907
24,muslims,0.039931583353058776,0.0038334329262436884,0.0050625201261799355,0.009451729093412038,0.0021402179010601963,0.006164618871538914,0.028834232974476515,-0.007263917452338571,-0.0060348302524023244,-0.0016456212851702224,-0.008957132477522063,-0.004932731507043346,0.13964435043947795,0.06658410227149356
25,jesus,0.005123080326189091,0.01988567275186036,0.013811964419291023,0.0022873266424001115,0.0022306565573897053,0.024205842541046248,-0.006134343546840333,0.008628248878830935,0.0025545405462615994,-0.008970097230629312,-0.009026767315639719,0.012948418668016824,0.13949067382418803,0.06754454323817655
26,christianity,0.008587328942825686,0.018076683860817764,0.011974520763406627,0.006580196138482077,0.00462641561641016,0.016279221053988716,-0.0024333987864961527,0.007055956131495926,0.0009537930340847885,-0.004440531590839761,-0.006394312112911678,0.005258493324666878,0.1355114051309491,0.06612436637593103
27,indian,0.012598186232223642,0.004076588741402303,0.0024303295415504475,0.03127544180368059,0.0103084955950901,0.0027127895675806706,0.0020312143186356837,-0.006490383172185655,-0.008136642372037511,0.02070846989009263,-0.00025847631849785883,-0.007854182346007288,0.13172769596149628,0.06340183148152775
28,century,0.011024575631036383,0.011462818460776398,0.010434490817314769,0.00706763956179663,0.013321597235384255,0.00956790520013838,0.0005447378132952471,0.0009829806430352618,-4.5347000426366676e-05,-0.003412198255944506,0.002841759417643119,-0.0009119326176027561,0.12843623111929334,0.06287902690644681
29,time,0.009690619400883628,0.010731298676496331,0.009747095371393524,0.007826260469728924,0.00923418315367058,0.014947319986090975,-0.0006721767754937005,0.0003685025001190032,-0.0006157008049838038,-0.002536535706648404,-0.0011286130227067485,0.004584523809713647,0.12703473553115466,0.062176777058263966
30,culture,0.013209854131794428,0.008175186584594245,0.008242618072007523,0.014017081082628776,0.010618900207317974,0.0069429593098084335,0.0030087542337691973,-0.002025913313430985,-0.001958481826017707,0.0038159811846035455,0.0004178003092927436,-0.003258140588216797,0.12510679516665527,0.061206599388151386
31,religions,0.009632302427148303,0.006820534015698261,0.0071290435599411445,0.014956063643819758,0.011759249133218689,0.0107930728332515,-0.0005494085083646381,-0.0033611769198146806,-0.003052667375571797,0.004774352708306817,0.0015775381977057475,0.0006113618977385583,0.12488659098626785,0.06109026561307765
