,word,man,woman,non-binary,man+,woman+,non-binary+,variance,total
20,distorted,9.278321616316038e-05,0.0006843926399205549,0.06564905000621053,-0.022049292071268253,-0.021457682647510856,0.04350697471877912,0.09339549374052926,0.06642622586229424
21,woman,0.011587460858236576,0.055702186377752316,0.0,-0.01084242155375972,0.03327230396575602,-0.022429882411996296,0.08811866681666744,0.06728964723598889
22,recordings,7.735494420165858e-05,0.0001749619589828529,0.062126915988370335,-0.02071572268631662,-0.020618115671535427,0.04133383835785205,0.08803953079065872,0.062379232891554844
23,time,0.020890860268930746,0.021706876512667405,0.03011508821112382,-0.0033467480619765767,-0.002530731818239918,0.005877479880216498,0.08427152536354235,0.07271282499272197
24,sounds,0.0020904431752671966,0.001191906101504514,0.05768548076774641,-0.018232166839572177,-0.01913070391333486,0.037362870752907035,0.08396714586412422,0.060967830044518126
25,koko,0.0,0.0,0.05670743059464415,-0.018902476864881383,-0.018902476864881383,0.037804953729762766,0.08019641743427673,0.05670743059464415
26,artist,0.0014260248829847753,0.004450867754971326,0.05216742916507573,-0.0179220823846925,-0.01489723951270595,0.03281932189739846,0.07818201666627847,0.05804432180303183
27,guitar,0.002447291331567862,0.00028028730855768607,0.05341444114090385,-0.016266715262108607,-0.01843371928511878,0.034700434547227384,0.07753126274816814,0.0561420197810294
28,industrial,0.0004128784150386289,0.00048767495217069245,0.05434760436446428,-0.018003174162185904,-0.01792837762505384,0.035931551787239745,0.07750115694842757,0.0552481577316736
29,lo-fi,0.0,0.0,0.053528309088320306,-0.017842769696106767,-0.017842769696106767,0.03568553939221354,0.07570046068360158,0.053528309088320306
30,track,0.0012705165155945802,0.0009503202100408319,0.0521456446977231,-0.016851643958858256,-0.017171840264412003,0.03402348422327026,0.07534852277261694,0.05436648142335851
31,said,0.028033404297411295,0.030333605601570574,0.003991627806320941,0.007247191728977025,0.009547393033136304,-0.01679458476211333,0.07490348572863054,0.06235863770530281
32,contemplative,2.6170892379872534e-05,0.00033247221020644546,0.052393631508920666,-0.017557920644789123,-0.01725161932696255,0.034809539971751666,0.0743505636970331,0.052752274611506986
33,death,0.006291475299838411,0.006718652439196416,0.04461828076505964,-0.012917994201526409,-0.012490817062168405,0.025408811263694816,0.07346119654070218,0.05762840850409447
34,musical,0.0021451032049720894,0.0017875510366336523,0.04987733479455737,-0.01579155980708228,-0.016149111975420717,0.031940671782503,0.07342383981207266,0.05380998903616311
35,deep,0.002423566343118486,0.002767201371649646,0.0459493675420248,-0.014623145409145822,-0.014279510380614664,0.02890265578976049,0.06884902968703273,0.05114013525679293
36,just,0.02125711832711629,0.024234795955957365,0.013015444342299932,0.0017546654519917625,0.004732343080832837,-0.006487008532824596,0.06805661774835343,0.05850735862537359
37,psychedelic,8.31394753376198e-05,0.0,0.04807983242319718,-0.01597118449084065,-0.016054323966178268,0.03202550845701892,0.06805401575303352,0.0481629718985348
38,world,0.011436007957073684,0.012228453718699055,0.03315214602039978,-0.007502861274983822,-0.00671041551335845,0.014213276788342274,0.06787863474027227,0.05681660769617252
39,sprawling,1.807394855095938e-05,0.00013537352496048932,0.047581686908269166,-0.015893637512042577,-0.015776337935633048,0.03166997544767563,0.06739939640784688,0.04773513438178061
40,warp,0.00013191770567596908,1.4383718128210158e-05,0.047581686908269166,-0.01577741173834848,-0.01589494572589624,0.03167235746424472,0.06739432771706755,0.04772798833207335
41,sense,0.0048730696240763816,0.0035896718124554987,0.042481050073272235,-0.01210819421252499,-0.013391592024145874,0.025499786236670863,0.0666073724148047,0.05094379150980412
42,dream,0.0022823084189843796,0.0030522210103277494,0.0439995493579038,-0.0141623845100876,-0.01339247191874423,0.027554856428831823,0.06621432366412192,0.049334078787215935
43,doom,0.0005570373141529587,6.343732224736693e-05,0.04628944403826714,-0.015079602244069528,-0.01557320223597512,0.030652804480044652,0.06590574644368268,0.04690991867466746
44,record,0.0028755053895313993,0.002236811840637773,0.04326078506688701,-0.013248862042820662,-0.013887555591714288,0.027136417634534952,0.06499788003389417,0.048373102297056186
45,rhythms,4.718968170576079e-05,0.0,0.04521993455744851,-0.015041851731345661,-0.015089041413051422,0.030130893144397083,0.06398403898730537,0.045267124239154265
46,percussion,0.0003751444392915153,0.0,0.04490071091687334,-0.014716807346096768,-0.015091951785388283,0.029808759131485056,0.06376611680526988,0.04527585535616485
47,way,0.012837420458556544,0.015029011859122213,0.025912369710654116,-0.005088846884221081,-0.0028972554836554122,0.007986102367876492,0.0628830741385601,0.05377880202833287
48,people,0.019766973636242788,0.023067977970130018,0.01097190548257032,0.0018313546065950766,0.005132358940482307,-0.006963713547077392,0.06275687559203955,0.05380685708894313
49,raw,0.0005288141949279975,0.0009573140006566285,0.041932043369340685,-0.013943909660047106,-0.013515409854318476,0.02745931951436558,0.06037077088888437,0.04341817156492531
