,word,muslim,christian,jewish,hindu,buddhist,atheist,muslim+,christian+,jewish+,hindu+,buddhist+,atheist+,variance,total
13,race,0.0,0.01909193655874581,0.1941963671687318,0.0,0.0,0.007183312649218664,-0.03674526939611605,-0.017653332837370236,0.15745109777261573,-0.03674526939611605,-0.03674526939611605,-0.029561956746897385,0.482243989651219,0.22047161637669627
14,empire,0.061196730382349365,0.1029637880369946,0.0,0.0,0.060418402756270154,0.0,0.02376691018641368,0.06553396784105892,-0.03742982019593569,-0.03742982019593569,0.022988582560334467,-0.03742982019593569,0.46876404746273664,0.22457892117561412
15,used,0.019022171603129648,0.004841555878740277,0.006091499363636182,0.1503380487689245,0.026044218974934627,0.005533110658836549,-0.016289595938237318,-0.03047021166262669,-0.029220268177730782,0.11502628122755754,-0.009267548566432339,-0.029778656882530417,0.45087631239232917,0.21187060524820178
16,cf,0.0,0.0,0.1990410661918629,0.0,0.0,0.000699117581177495,-0.03329003062884007,-0.03329003062884007,0.16575103556302284,-0.03329003062884007,-0.03329003062884007,-0.032590913047662574,0.4463209594573592,0.1997401837730404
17,khan,0.0,0.0,0.0,0.19898369039117583,0.0,0.0,-0.033163948398529305,-0.033163948398529305,-0.033163948398529305,0.16581974199264654,-0.033163948398529305,-0.033163948398529305,0.44494105812844087,0.19898369039117583
18,god,0.028394803554697534,0.056713637609483045,0.07102973306138985,0.0,0.0,0.0557976970051685,-0.00692784165042562,0.02139099240435989,0.035707087856266695,-0.035322645205123154,-0.035322645205123154,0.020475051800045344,0.4380052072601328,0.21193587123073893
19,nobility,0.0,0.0,0.0,0.19542005162371381,0.0,0.0,-0.0325700086039523,-0.0325700086039523,-0.0325700086039523,0.16285004301976153,-0.0325700086039523,-0.0325700086039523,0.43697251959714223,0.19542005162371381
20,india,0.010368914037911141,0.06680974184884346,0.0,0.12763965360438842,0.0,0.0006209181729313199,-0.02387095723943458,0.03256987057149774,-0.03423987127734572,0.0933997823270427,-0.03423987127734572,-0.0336189531044144,0.43552775772470104,0.20543922766407433
21,war,0.09992723706086466,0.010656377631875836,0.0,0.0,0.08598590189040073,0.005899967857257415,0.06618232298746489,-0.023088536441523935,-0.03374491407339977,-0.03374491407339977,0.052240987817000956,-0.027844946216142356,0.42603164736169186,0.20246948444039864
22,man,0.003270027368914245,0.019083846265151458,0.1529080327008133,0.0,0.0,0.022651965148902664,-0.029715617878382703,-0.01390179898214549,0.11992238745351635,-0.03298564524729695,-0.03298564524729695,-0.010333680098394284,0.4253803784374649,0.19791387148378167
23,famous,0.0,0.02335497572169202,0.0,0.11822797520793779,0.05120385857893261,0.0010116328561559189,-0.03229974039411972,-0.008944764672427705,-0.03229974039411972,0.08592823481381806,0.018904118184812885,-0.03128810753796381,0.40911796904939385,0.19379844236471833
24,wedding,0.0,0.0,0.0,0.18161887062209103,0.0,0.0,-0.030269811770348504,-0.030269811770348504,-0.030269811770348504,0.15134905885174252,-0.030269811770348504,-0.030269811770348504,0.40611214070773505,0.18161887062209103
25,pakistan,0.005702398182444005,0.0,0.0,0.17548899674070292,0.0,0.0,-0.024496167638080484,-0.03019856582052449,-0.03019856582052449,0.14529043092017843,-0.03019856582052449,-0.03019856582052449,0.4026787698636132,0.18119139492314693
26,christian,0.04052458109463753,0.10794221755262012,0.0,0.0,0.0,0.037332488908478845,0.009558033168681448,0.07697566962666404,-0.030966547925956083,-0.030966547925956083,-0.030966547925956083,0.0063659409825227616,0.390861842287082,0.1857992875557365
27,jewish,0.0349755487254533,0.0,0.13083786145841894,0.0,0.0,0.015218022014090574,0.004803643359126163,-0.030171905366327134,0.10066595609209181,-0.030171905366327134,-0.030171905366327134,-0.01495388335223656,0.38686294855964526,0.1810314321979628
28,rabbis,0.0,0.0,0.17167975863401116,0.0,0.0,0.0,-0.028613293105668527,-0.028613293105668527,0.14306646552834262,-0.028613293105668527,-0.028613293105668527,-0.028613293105668527,0.3838876106664054,0.17167975863401116
29,brainwashing,0.15956830659934917,0.0,0.0,0.0,0.0,0.0,0.13297358883279098,-0.026594717766558196,-0.026594717766558196,-0.026594717766558196,-0.026594717766558196,-0.026594717766558196,0.3568055806106731,0.15956830659934917
