,word,man,woman,non-binary,man+,woman+,non-binary+,variance,total
30,children,0.00850704278572792,0.012882592655179633,0.009185337595549181,-0.001684614893090991,0.002690934976360722,-0.0010063200832697294,0.03546167471231102,0.030574973036456732
31,years,0.011821966540257316,0.01167387301171974,0.006835273673475309,0.0017115954651065277,0.001563501936568951,-0.0032750974016754796,0.035252455228809786,0.030331113225452365
32,gay,0.0017218866517827206,0.0019564736656510367,0.02231735043291396,-0.006943350264999853,-0.006708763251131537,0.013652113516131388,0.03436035201518172,0.02599571075034772
33,work,0.009225104226258284,0.00970220672547233,0.010420698890245442,-0.0005575657210670684,-8.046322185302317e-05,0.0006380289429200898,0.03389884969102956,0.029348009841976056
34,queer,0.00031266495093340774,0.0005306177535482212,0.0234180779597938,-0.007774455270491736,-0.007556502467876923,0.015330957738368655,0.033725351164738876,0.02426136066427543
35,day,0.010439840165261807,0.010490727148139508,0.007619011348655907,0.0009233139445760652,0.0009742009274537663,-0.001897514872029834,0.03304804675748425,0.028549578662057224
36,way,0.009361491811098932,0.0083321646723135,0.010666087227698746,-9.175609260479375e-05,-0.0011210832313902266,0.0012128393239950203,0.03278876297094188,0.028359743711111177
37,use,0.006611769793716588,0.0064821978922967385,0.01440971702188501,-0.0025561251089161905,-0.00268569701033604,0.0052418221192522315,0.0324010340341521,0.027503684707898338
38,just,0.009255362974471198,0.008724199176814273,0.009751762019439728,1.1588250896131871e-05,-0.0005195755467607924,0.0005079872958646623,0.032029620631714856,0.0277313241707252
39,human,0.01001415714025035,0.008141689003078559,0.008973885238482877,0.0009709133463130896,-0.000901554790858702,-6.935855545438414e-05,0.0313547984234503,0.027129731381811784
40,lgbt,0.0004448172111147464,0.0006746072426248341,0.02155793149663984,-0.007114301439011727,-0.0068845114075016395,0.013998812846513366,0.031299518216693537,0.02267735595037942
41,history,0.010021873583728635,0.009634792942516911,0.007101356155928,0.0011025326896707873,0.0007154520484590633,-0.001817984738129848,0.03097883506987411,0.026758022682173546
42,family,0.008043560202494054,0.011303671695694085,0.007199698144093116,-0.0008054164782663655,0.002454695014933665,-0.001649278536667304,0.030806606476063134,0.026546930042281258
43,society,0.006988622225387609,0.007427051611246044,0.011453318510336511,-0.0016343752236024451,-0.00119594583774401,0.0028303210613464577,0.030072997958170245,0.02586899234697016
44,students,0.004577428173194934,0.0049003601314968545,0.015264521314180216,-0.0036700083664290683,-0.0033470764081271476,0.007017084774556214,0.02983544660846073,0.024742309618872006
45,identities,0.0003925425201658146,0.0006232496448911388,0.020426806253211277,-0.0067549902859235945,-0.0065242831611982705,0.013279273447121868,0.02962401003212336,0.02144259841826823
