,word,old,young,old+,young+,variance,total
26,family,0.008408702168644146,0.010740963194989591,-0.0011661305131727227,0.0011661305131727227,0.013640915017588878,0.019149665363633737
27,want,0.0103062230685273,0.008695622275734444,0.000805300396396428,-0.000805300396396428,0.013484512623765581,0.019001845344261744
28,little,0.010472322839012291,0.008492275093809346,0.0009900238726014716,-0.0009900238726014733,0.013482888485537253,0.01896459793282164
29,did,0.009946133580837109,0.009092075934047116,0.0004270288233949957,-0.00042702882339499745,0.013475585998328028,0.019038209514884226
30,great,0.010004866684695093,0.008971750237842573,0.0005165582234262604,-0.0005165582234262604,0.013438365217121837,0.018976616922537666
31,going,0.010036394972656534,0.008777017869831445,0.0006296885514125456,-0.0006296885514125439,0.013332864160956031,0.018813412842487977
32,man,0.008139330878934712,0.010280913346828832,-0.0010707912339470594,0.0010707912339470611,0.013112813824720583,0.018420244225763542
33,things,0.009957629786750659,0.008228006746199884,0.0008648115202753871,-0.0008648115202753871,0.012917216650095126,0.018185636532950543
34,women,0.005701247976848004,0.011277603535330883,-0.002788177779241439,0.00278817777924144,0.012636794292605266,0.016978851512178886
35,book,0.0077226399760093115,0.0096735450953426,-0.0009754525596666445,0.0009754525596666445,0.012378071049670218,0.017396185071351912
36,need,0.009310653580374896,0.007788402688147581,0.0007611254461136578,-0.000761125446113657,0.012138677297238457,0.017099056268522476
37,right,0.009128680009537675,0.007793810513775078,0.0006674347478812983,-0.0006674347478812983,0.012003177955906665,0.016922490523312753
38,best,0.008641394961959613,0.008188047888049912,0.00022667353695485053,-0.00022667353695485053,0.011904530024557021,0.016829442850009525
39,got,0.008898459418348836,0.0071049027262155085,0.000896778346066664,-0.0008967783460666632,0.011386932105224202,0.016003362144564343
40,long,0.008373304766946515,0.0076154788493155295,0.0003789129588154926,-0.0003789129588154926,0.011318469455917678,0.015988783616262044
41,help,0.007498056628078467,0.008459388241406768,-0.0004806658066641503,0.0004806658066641503,0.011304074602404327,0.015957444869485235
42,story,0.0067875134660038226,0.00901969068568609,-0.0011160886098411336,0.0011160886098411336,0.011288275294155244,0.015807204151689912
43,say,0.007971017819112563,0.007366376091955189,0.0003023208635786869,-0.0003023208635786869,0.010853599485918899,0.015337393911067752
44,god,0.007165352382700263,0.008016482167816077,-0.00042556489255790673,0.0004255648925579076,0.01075203520805161,0.015181834550516339
45,ll,0.008702592540107025,0.006158111154695256,0.0012722406927058848,-0.0012722406927058848,0.010661024805932522,0.014860703694802281
46,look,0.008183389237452508,0.006641345643968741,0.0007710217967418836,-0.0007710217967418836,0.010539228215306664,0.01482473488142125
47,use,0.00856791566443415,0.006059203907893988,0.0012543558782700812,-0.0012543558782700812,0.010493956871947485,0.014627119572328139
48,come,0.0075505396081377565,0.007282011353025048,0.00013426412755635376,-0.00013426412755635463,0.010489916001553244,0.014832550961162805
49,child,0.005031235021530763,0.009192013728474998,-0.0020803893534721172,0.002080389353472118,0.010478856914108069,0.01422324875000576
