,word,old,young,old+,young+,variance,total
26,want,0.0102549310424862,0.008653895542812507,0.000800517749836846,-0.0008005177498368477,0.013418402242892308,0.01890882658529871
27,did,0.00989799228985727,0.009052709373830504,0.0004226414580133838,-0.00042264145801338207,0.013413493145974785,0.018950701663687772
28,little,0.01040164077778831,0.008426407516486843,0.0009876166306507332,-0.0009876166306507332,0.013386503445786527,0.018828048294275153
29,home,0.010125081680192178,0.00870604981409341,0.0007095159330493851,-0.0007095159330493834,0.013353373446288359,0.018831131494285586
30,great,0.00985749737423769,0.00882612123103456,0.0005156880716015652,-0.0005156880716015635,0.013231427378330045,0.018683618605272248
31,going,0.009961858066599789,0.008698140058301673,0.0006318590041490581,-0.0006318590041490581,0.013224834842557069,0.01865999812490146
32,things,0.009899240508116964,0.008184177675289232,0.0008575314164138651,-0.0008575314164138668,0.012844287713152743,0.018083418183406197
33,man,0.00785558311129364,0.009985947120446783,-0.0010651820045765713,0.0010651820045765713,0.012705484088014956,0.017841530231740423
34,women,0.005663035868772601,0.01120736561663303,-0.0027721648739302152,0.0027721648739302135,0.012556871398397507,0.016870401485405633
35,book,0.007580373497179015,0.009515066862340965,-0.0009673466825809753,0.0009673466825809753,0.012165465866605895,0.01709544035951998
36,need,0.009266922056946729,0.007746985536880237,0.0007599682600332464,-0.0007599682600332456,0.012078560730408128,0.017013907593826965
37,right,0.008955074794607882,0.007588259914059962,0.0006834074402739601,-0.0006834074402739592,0.011737761843739659,0.016543334708667843
38,best,0.008511666334199067,0.007994433487745435,0.00025861642322681615,-0.00025861642322681615,0.011677304079911742,0.016506099821944502
39,got,0.008847849716255343,0.00706659176611214,0.0008906289750716008,-0.0008906289750716017,0.011323478431574094,0.015914441482367484
40,help,0.007442855069986367,0.0083915882290563,-0.00047436657953496726,0.0004743665795349655,0.011216721651126861,0.01583444329904267
41,story,0.00664951241553319,0.00889976554038785,-0.0011251265624273301,0.0011251265624273293,0.011109538335961809,0.01554927795592104
42,say,0.007929722120580554,0.007331499044066816,0.0002991115382568691,-0.0002991115382568691,0.010799600508480727,0.01526122116464737
43,ll,0.008654058296406994,0.006124551370993085,0.0012647534627069548,-0.0012647534627069539,0.01060202124566556,0.014778609667400078
44,god,0.007062770644323528,0.00789050031709273,-0.00041386483638460123,0.00041386483638460123,0.010589746192820612,0.014953270961416259
